Timestamp,Temperature (Celsius),Humidity (%),CO2 Concentration (ppm),Hive Frequency,Health Status
2024-04-14 04:00:00,38.9,75.55,753.37,245.5,Unhealthy
2024-03-24 01:00:00,29.14,57.25,442.42,155.12,Healthy
2024-03-23 05:00:00,12.08,49.83,690.31,194.64,Unhealthy
2024-04-16 01:00:00,34.25,52.02,393.28,150.74,Healthy
2024-03-21 09:00:00,20.58,31.56,518.63,187.96,Unhealthy
2024-03-20 17:00:00,26.35,30.79,678.28,208.21,Unhealthy
2024-04-17 10:00:00,28.82,54.98,447.13,146.86,Healthy
2024-04-08 19:00:00,39.09,72.52,615.83,214.21,Unhealthy
2024-03-12 01:00:00,31.8,57.38,437.18,151.36,Healthy
2024-03-22 19:00:00,15.01,34.36,558.28,169.22,Unhealthy
2024-03-11 16:00:00,28.62,57.67,417.74,143.5,Healthy
2024-03-21 12:00:00,24.72,41.29,522.45,163.05,Unhealthy
2024-03-14 06:00:00,25.98,35.29,479.21,193.67,Unhealthy
2024-04-02 16:00:00,32.43,59.88,425.15,154.38,Healthy
2024-03-24 22:00:00,28.5,52.47,430.38,159.81,Healthy
2024-03-20 19:00:00,31.51,51.05,426.04,145.69,Healthy
2024-04-09 10:00:00,30.69,50.19,424.7,155.21,Healthy
2024-03-14 16:00:00,28.05,53.73,442.92,143.31,Healthy
2024-04-05 06:00:00,38.01,62.64,784.88,217.73,Unhealthy
2024-04-13 20:00:00,36.13,77.24,517.06,216.67,Unhealthy
2024-04-06 10:00:00,30.87,57.9,443.41,140.65,Healthy
2024-04-06 00:00:00,35.6,79.84,662.71,192.49,Unhealthy
2024-04-19 05:00:00,38.88,76.07,532.24,163.63,Unhealthy
2024-03-12 19:00:00,11.14,47.49,768.23,176.51,Unhealthy
2024-04-16 18:00:00,39.48,72.43,735.87,236.44,Unhealthy
2024-03-13 11:00:00,28.76,53.5,413.76,146.55,Healthy
2024-03-16 19:00:00,12.46,40.77,629.43,157.38,Unhealthy
2024-04-18 12:00:00,30.02,55.72,441.39,148.19,Healthy
2024-04-11 08:00:00,31.54,55.12,424.17,149.5,Healthy
2024-03-10 13:00:00,28.33,58.29,429.25,151.3,Healthy
2024-04-04 12:00:00,28.26,50.97,419.63,152.72,Healthy
2024-04-17 16:00:00,29.44,57.89,435.54,143.96,Healthy
2024-04-02 04:00:00,30.78,57.37,409.29,149.03,Healthy
2024-04-16 03:00:00,30.39,53.68,403.57,146.44,Healthy
2024-03-12 16:00:00,25.45,45.65,459.51,191.29,Unhealthy
2024-03-28 02:00:00,33.44,54.97,406.21,150.92,Healthy
2024-04-03 17:00:00,38.48,70.85,471.94,176.81,Unhealthy
2024-03-21 10:00:00,10.55,37.9,663.77,216.19,Unhealthy
2024-03-12 14:00:00,16.42,34.34,794.75,202.49,Unhealthy
2024-03-19 22:00:00,29.19,56.86,442.74,146.88,Healthy
2024-03-14 12:00:00,29.6,56.55,449.05,151.52,Healthy
2024-04-16 23:00:00,37.75,69.67,794.7,214.03,Unhealthy
2024-03-19 19:00:00,30.7,54.82,444.58,153.1,Healthy
2024-04-02 17:00:00,29.68,51.36,427.49,157.36,Healthy
2024-04-02 00:00:00,39.53,72.51,731.22,212.94,Unhealthy
2024-04-12 16:00:00,31.76,56.44,409.3,144.99,Healthy
2024-03-30 11:00:00,33.76,55.34,416.35,148.85,Healthy
2024-04-15 09:00:00,29.7,59.92,440.15,154.69,Healthy
2024-03-12 06:00:00,33.41,52.96,435.41,155.24,Healthy
2024-04-03 16:00:00,37.57,64.75,697.44,244.07,Unhealthy
2024-03-31 12:00:00,39.98,74.35,553.12,191.79,Unhealthy
2024-03-19 15:00:00,34.77,50.33,439.88,151.06,Healthy
2024-03-28 02:00:00,23.91,39.89,544.59,183.68,Unhealthy
